"OWNERID","EMAIL","sum_AMOUNT","sum_REVENUE","mindate_CLOSEDATEFULL","maxdate_CLOSEDATEFULL"
"6575","kslevinj3@examplecompany.com","169","25350","07-10-2020","07-10-2020"
"3627","wziemenslc@examplecompany.com","76","11400","03-21-2020","03-21-2020"
"2534","wmiguelec@examplecompany.com","137","20550","08-11-2020","08-11-2020"
"4293","menzley45@examplecompany.com","604","90600","03-16-2020","09-26-2020"
"1684","dbodleighmd@examplecompany.com","77","11550","11-10-2020","11-10-2020"
"4211","obrushneen44@examplecompany.com","16","2400","05-11-2020","05-11-2020"
"5022","broydonnp@examplecompany.com","150","22500","04-08-2020","04-08-2020"
"1778","eteresim0@examplecompany.com","149","22350","07-01-2020","07-01-2020"
"3070","galud0@examplecompany.com","31","4650","04-14-2020","04-14-2020"
"8619","lschimmangnm@examplecompany.com","268","40200","05-25-2020","05-25-2020"
"4276","bgrimblebycn@examplecompany.com","289","43350","04-15-2020","04-15-2020"
"9537","awincklesdn@examplecompany.com","265","39750","03-20-2020","03-20-2020"
"8154","jhaynesford1k@examplecompany.com","29","4350","09-14-2020","09-14-2020"
"6133","aplackstone17@examplecompany.com","583","87450","12-10-2019","05-30-2020"
"4797","bjennerylr@examplecompany.com","32","4800","06-10-2020","06-10-2020"
"4294","gmcgilmartinof@examplecompany.com","37","5550","03-05-2020","03-05-2020"
"4080","nmcgiffief9@examplecompany.com","254","38100","11-21-2019","11-21-2019"
"9385","lcorterb@examplecompany.com","150","22500","04-01-2020","04-01-2020"
"6053","cphytheank2@examplecompany.com","97","14550","06-04-2020","06-04-2020"
"1516","msteedmanhr@examplecompany.com","42","6300","05-06-2020","05-06-2020"
"2511","kfedder47@examplecompany.com","1","150","03-21-2020","03-21-2020"
"7615","tdredge7v@examplecompany.com","275","41250","10-08-2020","10-08-2020"
"5066","mtaceybz@examplecompany.com","309","46350","06-02-2020","06-02-2020"
"5363","kcreenan3n@examplecompany.com","330","49500","06-09-2020","06-09-2020"
"8014","aderuggero1w@examplecompany.com","80","12000","10-15-2020","10-15-2020"
"9057","egreystoke22@examplecompany.com","329","49350","12-21-2019","12-21-2019"
"6055","fhogsdenj2@examplecompany.com","308","46200","08-03-2020","08-03-2020"
"6732","lmordonme@examplecompany.com","207","31050","11-17-2020","11-17-2020"
"8525","jbulcock6a@examplecompany.com","152","22800","09-17-2020","09-17-2020"
"9374","wskyme53@examplecompany.com","143","21450","08-26-2020","08-26-2020"
"5009","dchasneyjo@examplecompany.com","51","7650","08-28-2020","08-28-2020"
"6619","rivashnikov2l@examplecompany.com","340","51000","05-07-2020","05-07-2020"
"3204","rmiskellya3@examplecompany.com","55","8250","07-17-2020","07-17-2020"
"2283","apitwayhy@examplecompany.com","32","4800","06-23-2020","06-23-2020"
"6389","ccopellip3@examplecompany.com","36","5400","08-13-2020","08-13-2020"
"3537","detchellsbd@examplecompany.com","331","49650","03-23-2020","03-23-2020"
"2514","aharrowingno@examplecompany.com","5","750","04-13-2020","04-13-2020"
"3281","chaggataq4@examplecompany.com","166","24900","01-11-2020","01-11-2020"
"7644","chedley8e@examplecompany.com","185","27750","12-25-2019","12-25-2019"
"4960","tdumpera1@examplecompany.com","348","52200","02-08-2020","02-08-2020"
"6940","mmuggq6@examplecompany.com","93","13950","03-26-2020","03-26-2020"
"3915","lmcdonogh29@examplecompany.com","263","39450","03-11-2020","03-11-2020"
"6451","btuxilll5@examplecompany.com","187","28050","01-03-2020","01-03-2020"
"4157","salldrei8@examplecompany.com","209","31350","05-01-2020","05-01-2020"
"9920","mgerrard3u@examplecompany.com","55","8250","05-22-2020","05-22-2020"
"4054","hcanterobq@examplecompany.com","346","51900","05-25-2020","05-25-2020"
"9283","dsalvadore4u@examplecompany.com","339","50850","05-10-2020","05-10-2020"
"4672","mroastch@examplecompany.com","233","34950","12-24-2019","12-24-2019"
"3787","bfiennes9m@examplecompany.com","447","67050","02-24-2020","06-17-2020"
"3957","pbeisleybl@examplecompany.com","14","2100","12-04-2019","12-04-2019"
"3278","jmacvayl4@examplecompany.com","292","43800","12-03-2019","12-03-2019"
"5756","lmuffett9k@examplecompany.com","157","23550","04-19-2020","04-19-2020"
"7929","acomrie8t@examplecompany.com","206","30900","03-23-2020","03-24-2020"
